FIRSTNAME,LASTNAME,CALENDARYEAR,CALENDARQUARTER,DATEKEY,TOTALSALES,SALESAMOUNTQUOTA,SALESMINUSQUOTA
Ranjit,Varkey Chudukatil,2012,1,20120330,55794,409000,-353206
Ranjit,Varkey Chudukatil,2012,2,20120630,34517,217000,-182483
Ranjit,Varkey Chudukatil,2012,3,20120928,56937,404000,-347063
Ranjit,Varkey Chudukatil,2012,4,20121228,55466,1262000,-1206534
Ranjit,Varkey Chudukatil,2013,1,20130330,53836,1057000,-1003164
Ranjit,Varkey Chudukatil,2013,2,20130630,40813,707000,-666187
Ranjit,Varkey Chudukatil,2013,3,20130929,54600,908000,-853400
,,2011,1,,2704326,,
,,2011,2,,4027101,,
,,2011,3,,4238949,,
,,2011,4,,3270905,,
,,2012,1,,6486703,,
,,2012,2,,5239112,,
,,2012,3,,3948909,,
,,2012,4,,4868741,,
,,2013,1,,8260756,,
,,2013,2,,6994067,,
,,2013,3,,5440094,,
,,2013,4,,6730857,,
